studentAnswer	referenceAnswer	ref_1	ref_2	accuracy
I dont no what the would invasive mean.	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	0
The word invasive is significant to this article. The author uses the word invasive to describe animals that have immigrated to a new enviornment. Even the tittle: one man's pets another's invasive species is important in this article.	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	1
"The significance of the word invasive is meaning the meaning of the word. So invasive would me different because everytime they use the word its before ""species"", like ""They're introduced"" I think that 'invasive' is passing judgment"" or ""to me its on wonderful introduction"". I think the word mean different because there are different type of animals."	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	0
"The word ""invasive""  in the article is used in the context of invasive species, eliminating other species and invading the native habitats of other animals. The article discusses the growing amany of invasive python species and the different viewpoints on how to handle it."	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	1
The significance of the word ''invasive'' to the rest of the article is that these animals are not invasive, they are being introduced to the U.S. by people like RobRay MacInnes, who import them here to sell on the market.	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	1
The word invasive like says in the article mean a animals that passed judgement.	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	0
The article focuses on the introduction of the native species of reptiles. These intruders are called invasive species because they tend to conquer or take over the new habitat, forcing out other native species.	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	1
"The word invasive is very important to the article and also explains alot about the way the animals act in the area. Without any natural predators the pythons living in the everglades have nothing to kill them to keep their population down. This makes them ""invasive"" because they are taking over a once stable environment."	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	2
"I believe in this article ""invasive"" means hidden/unchecked or referred to pythons MaccInnes  uses this word when he states "" I think that invasive  is passing judgement"" he used this because he in happy that pythons are going birth and the number is increasing where others say its ""invasive"" as  in this is not a good thing this is how invasive was used."	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	1
"Invasive, meaning a foreign species that has made a home somewhere it isn't native to. For an example, in the article they speaks of how the Nile nonnter lead. can now be found around cape soral. The animal has the word ""Nile"" in its name.. its obviously not a native species to Florida."	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	1
The significance of the word invasive is that the python and other reptiles are coming to areas where they don't belong. One man might like the reptile but another man sees that it will backfire on soon harm the habitat. It's living in and expand its population causing that habitat its new habitat where it will now live.	"""The word """"invasive"""" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence."""	"""The word, """"invasive"""" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are """"invasive"""". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, """"Invasive is the rod of the controversy over these reptiles."""	Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.	1
