studentAnswer	referenceAnswer	ref_1	ref_2	accuracy
black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	2
white :: White because you wouldn't want the dog to get to hot .	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	1
white :: the color white will reflect the suns rays off of it because in the lab the color white had the lowest tempeture , and black absorbed the heat so it was hotter and if they had the doghouse painted black the dog would get to hot and die . so white	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	2
white :: this color will keep the dog house cooler inside because it doesn't heat up as fast . the average time for the glass to heat up was 42 degrees in 10 minutes .	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	1
white :: I would use alight color like White in this case because if its 95 degrees outside and you have a black dog house the dog house is going to be hot .Like in the experiment they used they used a black lid because it would make the jar the hotest .	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	2
light gray :: The darker of color the , the hoter it gets	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	0
light gray :: i think it will affect it by the doghouse atrackting heat and if neede they could paint it another color when it gets colder of warmer	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	1
black :: the color would absorb more heat from the sun making it hotter in the doghouse	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	1
light gray :: i chose light gray because i was thinking of temperatures of the seasons . in summer the light gray will reflect some of the heat while keeping it alittle warm inside , in winter the light gray will absorb alittle of the sun light making it alittle warm inside .	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	1
white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	2
black :: The black colored doghouse would be warmer on the inside . The average temperature with the black lid was 53 ( DEG ) , the average temperature for the dark gray lid was 48 ( DEG ) . The average temperature for the light gray was 45 ( DEG ) and for the white it was 42 ( DEG ) . There is a 11 ( DEG ) difference between the black and white colored lid . So the black doghouse would have the most heat on the inside .	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	2
white :: the color white will reflect the sunlight just like the white lid reflected the light from the lamp in the experiment .	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	0
white :: it would reflect a lot of the light and heat making it cooler inside the doghouse .	black :: black might affect the dog house because then the doghouse can get to hot for the dog . iknow this because in the results black got the hottest .	white :: It will kepp the dog house cool and not to hot because in the table a black lid had an average of 58 degrees and the white lid had an averge of 42 degrees . There for if the dog house was painted a darker color the doghouse would get to hot inside .	white :: Brandi and Jerry should use white paint because in the experiment , the jar with the white lid increased the least in temperature . It increased 18 ( DEG ) C while the black lid made the temperature increase 29 ( DEG ) C . Therefore , the white paint should be used so that the dog house doesn't overheat .	1
