studentAnswer	referenceAnswer	ref_1	ref_2	accuracy
The author orginizes this article by putting into a couple paragraphs, that are organized that way to make it easier on the reader. So that you can understand how dangerous space junk or microdebris is.	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	1
By starting back in the 1950's also by their thoughts an other people thoughts..	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	0
He says what it is, and the first year they started doing. He also talked about that different crash course you could have if you go up in space. That you might want to bring tools with you just in  case somethimg happens.	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	0
The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	2
She organizes the article by useing different headings when she talking about different things.	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	1
The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	2
It was very well put together, becuase the author organized it into different sections. He had a eye catching benning and The in between had different Titles that caught your intrest talking about a certain topic.	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	1
The Auther organizes the article by first informing you about what space junk is like in paragraph 5. The second part is telling you what happens when two uncontrollable satilites do. Then the last part is telling you what happens what microdebris is and how it poses a threat to earth.	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	2
The author does step by step in order to inform us the little           promblems to the real promblems that are big.And to let us no how certain things we need to pay attention to because its a big deal.	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	0
The author organizes the article by breaking it up into sections. First he has the introduction part of the article. This introduces what his paper will be about. Then he has a subtitle that says 'What Is Space Junk?' This section defines what his main idea is about and gives the reader a better understanding about his topic. Then, he has 'Crash Course' giving examples of previous times there has been crashes in space. Finally he closes his article with 'Little Bits, But a Big Deal', emphasizing the effects of space junk and informing the readers that this is a serious issue not to be taken lightly.	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.	2
