studentAnswer	referenceAnswer	ref_1	ref_2	accuracy
China's panda and Australia's koala are two animals that arent predator, pandas eat bamboo and koala's eat eucalyptus leaves. Therefore, they are harmless. They are both different from pythons because pythons are potentialy dangerous considering they can swallow an entire alligator you could conceivably have pythons shacking upto the Potomac	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	1
Pandas and koalas are similar because they are both described as specialist animals because they only eat one food exclusively; no change. The panda and koala bears a different from the pythons because because pythons are generalist animals, that migrate and can adapt to the climates in the Lower States, while the panda and koala bears cannot.	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	1
Pandas in China and Koalas in Australia are similar because they both only feed on one thing. Pandas eat bamboo and Koalas eucalyptus leaves. Unlike pythons which eat just about everything including Aligators.	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	1
Pandas in China only eat bamboo and Koalas in Australia eat exclusively eucalyptus leaves. They are both restricted to one food while pythons eat a varity of foods potentially harming native species.	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	2
Pandas in China and koalas from Australia are similar because they are both specialist. They both are different from a python because a python is a generalist.	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	0
Panda's are similar to koala's because they are both specialists and a python is a generalist.	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	0
Panda's are similar to Koala's by they are both specialist species. They only survive in certain conditions. They are not able to adapt very well and can only eat and live in certain climates. They are both different form pythons by they are not reptiles. Also a python is a generalist specie and can easily adapt to change. They eat a variety of foods, and accept change.	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	2
Pandas in china are similar to koalas in Australia because they both are specialist. In the article it states that koala bears & pandas eat mainly one type of food. Koalas eat eucalyptus leaves while pandas eact bamboo. They are both different from pythons because pythons are generalists. And like stated in the article they can adapt to anything.	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	1
Pandas and koalas are similar because they eat mainly one type of food for them. Pandas eat bamboo and koalas eat eucalyptus leaves. They differ from a python because pythons can eat just about anything...one even attempted an alligator.	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	1
Pandas are similar to koalas due to their very much a like eating habitsthey both eat bamboo and occasional bugs. Pythons on the other hand, aren't mammals like pandas & koalas & eat mostly rodents.	A panda and a koala beer are similar because they both eat one type of food. A panda eats bamboo, and a Koala bear eats eucalyptus leaves. They are also both specialists, but a python is a generalist. Meaning they can adapt to their surroundings. Pandas and koala beers can't adapt.	Pandas in China and koalas in Australia are similar because they are both specialist species. They both require specific resources and climate to survive. These limits them to only their natural habitats. This makes pandas and koalas much different than pythons. Pythons are generalists and can survive in many different places. That is why pythons are being found naturally in Florida but not koalas or pandas.	"""Pandas in China are similar to koalas in Australia because they are both specialist. """"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"""". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."""	1
