Id	EssaySet	essay_score	essay_score	EssayText
18162	7	0	0	"When Rose is speaking , she doesn't know the full extent of her knowledge of the case. She doesn't know whether the charges against the two men, who have been charged with"
18257	7	0	0	"When she  talks to you, you will know that this child can't help but think about what happened.  There are people who would have you believe that she would have had a better life if she had known you and you had a relationship."
18531	7	0	0	"One trait the Rose has in mind: When it comes to her favorite movies, she's very fond of them.  In ""The Big Lebowski,"" she can sing the song ""I Never Said Never"" while walking on the beach. In ""The Secret Life of Pets,"" she"
18089	7	0	0	"One trait that decribes Rose would be her ability to heal herself. In addition to her healing powers, Rose also possesses a unique ability: her ability to heal herself after being broken.  This trait is seen on the battlefield in the game's final cutscene, where Rose is fighting a large-scale battle with a large"
17382	7	0	0	"She grew up here and here . He was very nice, very smart. He was really good at what he did. I don't know if I had ever seen him in the wild before.  ""I love him. I love him. He always has been. I feel"
17474	7	0	0	Rose is a natural-born citizen who has spent most of her life in the U.S. and is considered the best friend and family member of President
18424	7	0	0	"Rose, while feeling overwhelmed, tried to be optimistic in most situations. She feels like she's going to get the job done this year.  ""I'm so grateful for the opportunity,"" she says. ""After what I've done with the team, I don't think it's going to change a lot at all.""  Ruth Lee, a former NFL player now with the Broncos, is a member of the Broncos coaching staff. Lee's experience of coming into the league as an undrafted free agent was a key to her success at the Broncos.  ""It was just the way my teammates put me at the start,"" Lee says. ""I feel like I've been a great leader in some of the right ways. I feel like I've been a great"
17196	7	0	0	Honest. Rose is already a very good friend and is a great one. She's been great to work with and I think she really understands the game and the game
18280	7	0	0	Rose is a good example. She is not going to be a popular candidate in the Democratic primary. But
19104	7	0	0	"Rose is very mature at 5'8"", but is slightly over 5'9"". She is a great actress, and shows the full potential of her body and skills. She has a strong sense of humor, but is not very good at expressing her emotions. She"
17104	7	0	0	"Rose, at first, only made it to the end of the season.  ""I think it was a pretty difficult season,"" said Bloor, who was suspended by the team for the 2015-16 season. ""We"
18159	7	0	0	"One trait that can identify Rose is the ability to be able to do so, and the ability to be able to do so in a specific way, such as by taking a hit.  The ability to do so is an incredibly powerful ability, and Rose is one of the few that doesn"
17238	7	0	0	"The fate of the man's body rests with the body's maker? it is now the last piece of evidence against him."" The woman ww"
17493	7	0	0	Her to the right of the right edge of the
17575	7	0	0	"One trait that would describe Rose is that she has a lot of personality. It's hard to describe her personality in a vacuum, even for the most devoted fans. But if there is one thing that Rose has for fans, it is her ability to make fun of herself.  ""I love the way I'm portrayed in"
18526	7	0	0	One trait that Rose has been able to leverage to be one of the best wide receivers in the league is his ability to catch the ball with the accuracy of a ballcarrier. This is exactly what he did this
17597	7	0	0	"Rose is very compassionate to her family.  ""I was really excited about this coming out. I knew that I felt I was being treated badly by a doctor and that I was going to have to go through what I did,"" she said.  ""My dad was very supportive and"
17687	7	0	0	I think that 's what I'll do. I'm not going to sit down and do what I want to do. I'm not
19315	7	0	0	"she , who lives in the same city as the"
18911	7	0	0	"stressed- In the first place, many are afraid of the negative consequences of not working, and this fear is not just a psychological one. In fact"
17601	7	0	0	"Rose feels as though that she 's been able to convince her parents to take her away in order to prevent the child from moving to the school. She's not happy about that, at least not yet. But then... she gets caught up in the next situation.  The first part of the story"
18444	7	0	0	"parragraph 22 sentence with the same meaning as in paragraph (b):  ""(b) Any person who is convicted of a crime against the peace or"
18289	7	0	0	"Rose seems to be very stressed. ""I don't think he's a great coach, but I think he's a great guy,"" Walker said. ""I don't think he's got the heart to do anything other than play to win. He's got his own style and he knows how to play football. I"
