Id	EssaySet	essay_score1	essay_score2	EssayText
22955	9	2	2	The author organizes the article by catching your attention with shocking statements made in the introduction.  After that, the author explains three different problems that space junk creates.  At the end the author summarizes the article with a conclusion.
22957	9	2	2	The author organizes the article by first letting the readers know what space junk was. How Space junk is formed and what happens to the debris in space.
22961	9	2	2	The author organizes the article by breaking it up into sections. First he has the introduction part of the article. This introduces what his paper will be about. Then he has a subtitle that says 'What Is Space Junk?' This section defines what his main idea is about and gives the reader a better understanding about his topic. Then, he has 'Crash Course' giving examples of previous times there has been crashes in space. Finally he closes his article with 'Little Bits, But a Big Deal', emphasizing the effects of space junk and informing the readers that this is a serious issue not to be taken lightly.
22962	9	2	2	The author organizes this article by giving us some information about space junk.  What is Space Junk?  Then the author gives some information about how dangerous space junk can be. Crash Course.  Finally, the author gives us information about it dosen't matter what the size is, it's the speed that does the damage.  Little Bits, But a Big Deal.
22967	9	2	2	The author gives us a clear introduction at the biginning followed by the head lining 'What Is Space Junk'. The author also continues to use headings to demonstrate diferent parts of the article.
22968	9	2	2	The author organizes his/her writing into different sections based on the importance of the issue. The most common known issue with apce is the space trash and to show this, the author placed all his information about 'space junk' into the first subtitle. Then for all the information about satellites crashing and the small size of the space debris got placed into their own sub categories.
22969	9	2	2	The author breaks the article up into smaller sections.  By doing this I believe it makes the article more effective and easier to read.  It starts out by giving an introduction as to what the main idea of the article is going to be about and then goes farther into details.  In the details it gives us actual examples of the 'space junk' crashing into one another and making hundreds of microsatellites flying through space.  Then it gives us an example of how we my think a little tool box is no big deal, but then it explains how it really is a big deal.  Then it concludes by trying to make us think of ways that space junk could be cleaned up in the future.  I believe by organizing it this way it leads to a more effective and more interesting article.
22970	9	2	2	First he talks and informs us about the general idea of Space Junk. 'What is Space Junk' is where he basically tells us just a general idea about it. Then he tells us about 'Crash Course' That is about how large objects or satellites may crash into each other. 'Little bits, but a Big Deal' is informing us about those articles combined kind of. It talks about space debree, and how to solve the problem. It kind of wraps things up.
22972	9	2	2	First, the author gives a quick explanation of how space junk is created in the passage 'What Is Space Junk'. Here, they explain that when satellites malfunction, they become high-tech junk. In the next article 'Crash Course', the author tells a story of a U.S. and Russian satellites colliding, creating many debris. Finally, the author explains the importance and dangers of space junk in 'Little Bits, But a Big Deal'. In this article he explains that even though some debris are smaller than a baseball, they pose a serious threat to spacecraft or astronauts.
22974	9	2	2	The author organizes the artical well. He puts things down by there importance, uses tone of voice, and organizes his thoughts well. From the section Orbiting junk, he uses excitment for his tone of vioce. In the section What is space junk, he gives facts about what happend and how dangerous debree in space can be.
22980	9	2	2	The author organizes the articles by producing several different titles and layering supporting evidence with facts. The introduction uses humor to convey the topic. 'What is Space Junk' gives a background as to how the the objects have muddled their way into the atmosphere. 'Crash Course' gives a more in-depth look at exactly what objects have been found and what dangerous effects they can have. 'Little Bits, But a Big Deal' expands on the need for a solution to the increasing amount of damage that has occured. The author uses a structure of history, cause, effect, and solution to reveal information.
22981	9	2	2	The author starts off trying to lure the reader asking a question. then using the title 'Crash Course' it is a good topic that we would like to find out what is going on; then ends it out with 'Little Bits,But a Big Deal' saying that it is a little thing or topic but itis a very big deal in the world. He just wants the reader to want to keep reading keep it intersenting.
22985	9	2	2	The author organizes the article in a way that answers the readers questions as one would have them by putting everything under titled paragraphs. The author first gives the reader background information on the problem.  Telling one what the problem is, and how it came to be a problem in 'What IS Space Junk?'.  The author of the article then told the reader about the dangers of space junk and how they affect all things in space in 'Crash Couse'.  Finally in 'Little Bits, But a Big Deal' the author tells of more problems that space trash causes and tells one how the problem is increasing and how it is trying to be stopped, 'Space agencies hope that the corporations and nations involved can work together to come up with a viable solution to space pollution.'  This makes for a well rounded article.
22986	9	2	2	The aurthor organize that article by putting different information in its own subject so that the reader can understand and lean about one thing at at time. By putting the articles in there owns subject like 'What Is Space Junk?. The reader can only read about what space junk is, and not have to read about crash cousre, cause thats in the next reading.
